index,singer_name,birth_year,death_year,carrer_start_year,career_end_year,gender,famous_songs,other_occupations,instruments_played,personal_life,career
0,Ajith Bandara,,,2006,2022,male,"Amma, Asipiya salana nisa, Heen manike, Mage nage, Mata enna nodi",,,"He hails from Ahasyanapitiya,  Mawathagama, Kurunegala as the second  of the family. His father who was a carpenter, died after a chest pain when he was a teen. He has two brothers and three sisters. His older brother A. M. Dissanayake ,who was a mason. Before entering singing, he worked as a woodcarver and polisher at Bandara Weerakone Furnishers at Mawathagama. Ajith completed education from Pothubowa Vidyalaya in Mawathagama. He is married to Niluka Bandara and the couple has two children. His daughter Sathsari Chanchala became the champion of the reality show Hiru Super Hero in 2017.   ","He started singing in very small age. However with the poor family status kept him away from popular singing. Then he joined with a group called ""Flowers"". In 2005, his wife sent an application for Sri Lanka's first ever singing reality competition in Sri Lanka, Sirasa Superstar. His first audition was held in Habarana, where he woke up at 5 a.m. and got there early. He gradually moved through the competition and later became the winner. He received one million LKR with the prize car as well as a free sponsorship for the first album. Soon after winning the competition, he released his first music album ""Thilaka Thiyanna"" which was launched in Sugathadasa Indoor Stadium in Colombo."
1,Allen Ratnayake,,,,,male,"Anoma gan theere, Bhagya shree sundara, Bhawa andhakara bindahera, Mahamaya muni matha",musician,,,"Allen Ratnayake was an early Sri Lankan singer and musician. Ratnayake sang for various Record labels like HMV and Columbia and scholars and musicians like Gunapala Perera used to mention his name among the other famous artists in the gramophone era of Ceylon. Ratnayake had given his voice for many Sinhala gramophone records. ""Jethawanarame Athi Ramani"" is one of his musical albums which consisted of Nine soundtracks. ""Anoma Gan Theere"", ""Jethawanarame athi Ramani"" are two famous songs of Allen ratnayake."
2,Amarasiri Peiris,1946,,1964,2022,male,"Hantanata payana sanda, Iki gasa handana, Oba eda nam sanda wagemai, Hanthana kanduwatiya eda wagei adath",violinist,violin,"He was born on 21 July 1946 in Boralesgamuwa as the eldest of the family. His father Albert Peiris was a classical artiste at Radio Ceylon popular in 1940s. Albert was the first disciple of the Master musician H.W. Rupasinghe. His mother M.K. Asilin was born in Meddewatta, Matara was a housewife. He has three younger sisters - Irene, Shriyalatha and Somalatha. As a child, he dreamed of becoming a train driver due to the influence of his uncle Piyasoma Nanayakkara. He completed primary education from Boralesgamuwa Ananda Vidyalaya and later attended to Buwanekaba Vidyalaya, Maharagama and studied music in Advanced Level class. Later in 1962, he attended to Heywood Institute of Art. He is married to Nanda Koralage, a student who came to the Heywood to play Ezraj. The couple has one son, Madhawa and four daughters - Janaki, Anuradha, Nadeera and Subashini. Madhava is a singer as well as a talented guitarist. He lives in Italy. Daughter Janaki is an Aesthetic Instructor at Devi Balika Vidyalaya. Anuradha is a dancer. She lives in Australia. Nadeera is the Milagiriya Branch Manager of Bank of Ceylon.","Since child age, he used to accompany with father to Radio Ceylon to watch recordings, violin solos and other musicals. After graduated from Heywood, he joined SLBC as an A-grade violinist. Later he became a music conductor, a music controller at SLBC. He became the Director, Music at SLBC and retired after that. He studied violin under Douglas Ferdinands. In 1967 he joined the orchestra of Radio Ceylon. At SLBC, he sang his first song, Budu Sihila Galalaa, a Bhakthi Gee composed by Sena Weerasekera. Since his life at Heywood, Peries had a close relationship with maestro Premasiri Khemadasa. Khemadasa invited him to join with Sangeetha Manjariya at Maradana, where Peries participated as a violinist for a cassette recording, Pahan Tharuwa. Later, Khemadasa invited him to sing Landune composed by the late Ranbanda Seneviratne. The song got enormous popularity which made the milestone of Peries' singing career.Then, he got the opportunity to work as a playback singer for many films including Siri Medura, where he won his first Sarasavi Award for the song Minisa Marana Thunak Ethi. Peries became a permanent member of Khemadasa's orchestras and met several prominent musicians Dr. Eardley Fonseka, Harvey Deutrom and Mrs. Prince. During this period, he met popular American artiste Roscoe Williams. He also made playback singing for the films Guru Gedera, Awaragira, Kawuluwa and Samanala Sandhawaniya and won several awards. In 2011, he launched a CD titled Ganga Gala Yaa Den. On 18 May 2014, he performed a solo concert Hanthnata Payana Sanda held at Musaeus College Auditorium, Colombo 7. On 11 February 2017, he performed a concert Unmada Sanda at Swarnapali Balika Vidyalaya, Anuradhapura."
3,Ananda Samarakoon,1911,1962,1938,1962,male,"Podimal Etano, Vilay malak pipila, Poson pohoda, Sunila guvanay","songwriter, lecturer",,"Samarakoon was born to a Christian family in Padukka, Ceylon on 13 January 1911. He had his primary and secondary education at Christian College, Kotte, presently known as Sri Jayawardenapura M.V.Kotte. His Sinhala Guru was Pandit D.C.P. Gamalathge. Later he served his Alma mater as a teacher of Music and Art. Samarakoon left for the Visva-Bharati University, Santiniketan in India to study art and music. After six months he abandoned his studies and returned to Sri Lanka, and changed his name to Ananda Samarakoon, embracing Buddhism. Then he served as the music teacher of Mahinda College, Galle from 1938 to 1942.","In 1937, the popular music of Sri Lanka consisted of songs derived from the North Indian Ragadhari music. These songs lyrics often contained meaningless phrases with little or no literary merit. Samarakone set out to create a form of a music that can be classified as Sri Lanka's own and came out with the song Ennada Menike (1940) that paved the foundation for the artistic Sinhala music. In 1940, he composed Namo Namo Mata to instill patriotism and love for one's country, in his students at Mahinda College. It was first sung by little Mahindians at the prestigious Olcott Hall. That song was later selected as the National anthem of Sri Lanka by the Sri Lankan government."
4,Annesley Malewana,1947,,1966,2022,male,"Mathakai thamath, Ruwanpuren indala, Thotiya, Manamali, Goyam kapanawa",composer,,"Malewana was born on June 13, 1947 in Ratnapura, Sri Lanka and attended St. Joseph's College, Colombo. He is married to Swarnamali and the couple has one son and one daughter.","Upon leaving school, he met Clarence Wijewardena, and the two formed the group Moonstones in 1966. In the early 1960s, the Moonstones began performing songs composed by Wijewardena and sung by Malewana. Their first hit was Mango Nanda, a song written about the maid who once worked at the home of Clarence's wife in the early days of their relationship. The Moonstones were managed by the advertising man Sri Sangabo Corea and were mentored by the Radio Ceylon broadcaster Vernon Corea and his cousin Vijaya Corea. They first featured on a program called ""Saturday Star"" on Radio Ceylon. Their music was featured for the very first time on the English Services of Radio Ceylon and subsequently the Sri Lanka Broadcasting Corporation. They became household names as a result of the airplay on Radio Ceylon throughout the 1960s. After few years, Wijewardena formed ""Golden Chimes"" and left ""The Moonstones"". However, later all reunited again and formed the band ""Super Golden Chimes"". The band produced many popular songs such as Udarata Niliya and Gamen liyumak.During the 1960s, 1970s, and 1980s, the songs of the 'Moonstones' and the 'Super Golden Chimes' were on the top of popularity. His songs topped the charts on both the English Service and the Sinhala Service on Radio Ceylon for decades. In 1977, he got a job at a Private company and temporarily left the band. Malewana and Wijewardena remained friends and reunited in the 1970s to form a group dubbed the Super Golden Chimes - this group would, similarly, produce a string of popular songs that included Udarata Niliya, Sihina Pathum, Wana Bambaro, and Sathuta Senasuma. The Super Golden Chimes performed for another eight years until, in 1978, Malewana married, and announced his retirement from music. Despite his retirement, Malewana returned in 1988 as a solo artist, and continued to record songs particularly for CDs released in Sri Lanka. In 2005 he formed the band Annesley & The Super Chimes. His song Kageda Gon Wassa was censored between 1970 and 1977 by the prevailed government because people started hinting at the government with this song. In 1984, he made playback singing with the film Shirani directed by M. H. Gafoor.  On 27 July 2013, he organized a musical show ""Sing Along with Annesley Malewana"" at Hotel Taj Samudra Rooftop as a fundraiser for Lion Sight First Hospital. On 6 August 2016, Malewana celebrated 50 years of his singing career with a grand musical show titled '50 Year Reflection' which was held at the BMICH at 7pm."
5,Anil Mihiripenna,1933,2017,,,male,,"musician, flutist, composer","bansuri, esraj",Anil was married to Mrs. Soma Mihiripenna.,"He graduated from the Visva-Bharati University India, better known as Santiniketan. He was one of the most talented oriental musicians who played the Flute and the Esraj. He studied under the great Esraj Maestros Ashish Chandra Benerji, Flute from Pandit Gowr Goswamy and Vocals from Pandit Jamini Kantha Chakrawarthi. He was conferred with Master of Arts (Musicology) by the Open International University (U.S.A.) in May 2004. He has widely traveled on concert tours in the United States of America, Hong Kong, Taiwan, Singapore and several times in India. He was highly regarded as the leading Flutist cum Esraj player in Sri Lanka who could charm anyone with a musical ear. He has composed music for several ballets, documentary films and feature films. He was a super grade artist at the Sri Lanka Broadcasting and Rupavahini Corporations. They have acknowledged him as an International artist. He was a visiting lecturer at the University of Kelaniya. He is the founder of Sharada Kala Nikethanaya, an institution that propagates and popularizes Oriental classical music in Sri Lanka. The board of directors and the publication board of the American Biography Institute appointed him as an honorary member of their research board of advisors in 1999. He was conferred with honorary citizenship by governor of Nebraska State of U.S.A."
6,Ceylon Manohar,1944,2018,,,male,,actor,,"Ceylon Manohar, popular name of A. E. Manoharan is also known as Surangani Manohar. Manoharan was 73 when he died in Chennai of age-related ailments.","He was a pop singer and actor. He has played roles in Tamil films and other Sri Lankan Tamil works. He is majorly known for the song ""Surangani"", which attained cult status in the 1970s and 1980s in Tamil Nadu."
7,C. T. Fernando,1921,1977,1940,1977,male,"Ambaruk sevenalle, Ane dingak innako, Kimada sumihiriye, Mee amba wanaye, Sihina lowe",composer,,"Fernando was born on 28 January 1921 in Uyana Road, Dehiwela, Sri Lanka. He later grew up in Nawalapitiya. He educated at St. Mary's College, Nawalpitiya. As a student C.T. showed interest in the arts participating in school dramas and singing with the local church choir.Fernando met his future wife Dhana in 1951. She was born in Badulla and studied at Badulla Girls' High School. She fell in love with CT's voice. Her favorite song was also ""Pin Happens"". She wrote love letters to CT. He also fell in love with her. CT and Dhana got married secretly from their parents with the help of Latha Walpola despite strong opposition from her parents. The couple had one son: Priyantha, who was born in 1952.On 17 October 1977, Fernando had participated in a concert and had come home on foot from Dehiwala Junction around midnight. He informed that his has a mild chest pain. Then his wife called the neighbor Ivo Martins and took him to the Kalubowila Hospital. He died on the same day after become unconscious at the hospital at the age of 56 by a heart attack. His wife Dhana died on September 25, 2012. His son Priyantha Fernando was also a popular singer in Sri Lanka who continued with CT's legacy. Priyantha and his wife Piyaseeli have two sons, Thisara Fernando and Danushka Ryan Fernando. In April 2018, Priyantha fell ill during a concert in Italy and later returned to Sri Lanka and was being treated at the Kalubowila Hospital. He died on 1 May 2018 at the age of 65 while receiving treatments.   ","Fernando often won prizes for elocution, singing and drama, including a gold medal of oratory. He was a chorister in his local parish church, and later became the choir master of A.R.P. Messenger service in Colombo between 1942 and 1965. He later joined the Grand Cabaret to entertain the troops involved in world war 2 and further developed his musical talents.In 1946, Fernando successfully auditioned for a position as grade one radio artist on Radio Ceylon. His first radio song was Sawas Kala Aele. Then he had his first popular song with ""Pin Sindu Wanne,"" a plea to children to stop harming birds. The song was written by R. N. H. Perera. One of the most popular singers in Sri Lankan music often known as the First Pop singer in Sri Lanka."
8,Chandralekha Perera,1961,,,,female,"Dasa thawama, Mage dinapothe, Mangala nakathin yannata, Me uyan kone",actor,,"Perera was born to a middle-class family in Kurunegala. As a child she often sang at home. At school she frequently sang and successfully took part in inter-school competitions. While studying she sang for the band ""Spring Time"" in Kurunegala. She met her future husband Rookantha Goonatillake in 1976 when he was a keyboard player for the band.Perera married Rookantha Goonatillake in 1989, and she has three daughters and a son. Two children from her previous marriage; Daughter Shyami Nadisha and Son Yohan Kumarage. She has two daughters with Rookantha, Raini Charuka and Windy. ","Chandralekha Perera is a popular Sri Lankan pop singer. Without her knowledge, Perera's father submitted his daughter's name to a Sri-Lankan government-sponsored youth organization National Youth Services Council (NYSC). She subsequently attended and had a successful interview. She also appeared on the national television service in Sri Lanka that was a gift from Japan to Sri Lanka and was at that time broadcasting test transmissions. Perera was noticed by the film director and producer D. B. Nihalsinghe while he was reporting on NYSC. He selected her to act in his new television series Rekha, which made her a star. She was given the award for best television actress in 1986 (for Nadee Geethaya, another series by Nihalsinghe), and the award for best playback singer in the same year (for the film Yali Hamuwennai). She was signed for LUX International by Lever Brothers at that time.Perera has sung duets with many popular singers and actors. Vijaya Kumaranatunga, sang more than 15 songs with her."
9,Chitral Somapala,1966,,1986,2022,male,"Aherenna, Man adareyi, Miringuwa parada, Sihinaya pupura yai",musician,"keyboards, chapman stick, bass guitar","Chandana Chitral Somapala was born in Colombo, Sri Lanka, on 4 November 1966. His parents,  Peragaswatte Liyana Acharige Somapala and Chithra née Perera, were musicians, music directors and producers. His parent's song, ""Dambulu Gale"" was recreated by Somapala to mixed feedback by critics. He has three brothers: Prasanna, Rohan, Nalin, and one sister, Piumi.Somapala was educated at Isipathana College (formally Greenlands College), a national school for boys, located in Colombo. While there, he played cricket, football (soccer), and hockey.","Peragaswatte Chandana Chitral Somapala also known as Chity Somapala, is a Sri Lankan hard rock and heavy metal vocalist and a music director. He is known for his work with European power metal bands Firewind, Power Quest, Avalon, Faro, Red Circuit, and Civilization One. Somapala joined the Sri Lankan alternative band, Shock, founded by Diliup Gabadamudalige, and considered a pioneer of computer-based music production in Sri Lanka. In 1986, Somapala toured Europe with Rendesvouz (later re-named Friends). He joined German underground metal act, Court Jester in 1996, with whom he recorded the album Forced II Believe, which received favorable reviews in the European press. In 1998, Somapala contributed the song ""Nadee Ganga"", which became a hit. It was originally recorded for a TV/Radio commercial to promote Lion Beer. The song was based on the melody of ""Many Rivers to Cross"" by Jimmy Cliff, and sung in the Sinhala language in a hard rock and metal style."
